value,rank,color,sigla_uf,state_id,indicator_id,component_id,component_name,dimension_id,dimension_name,indicator_name,ano,descricao,fonte
64,11,2,CE,23,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"72,59",1,3,DF,53,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"36,6",21,1,ES,32,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"65,35",10,2,GO,52,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"7,5",27,1,MA,21,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"53,55",16,2,MG,31,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"15,29",25,1,MS,50,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"71,48",4,3,MT,51,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"58,24",14,2,PA,15,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"34,89",22,1,PB,25,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"25,03",23,1,PE,26,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"70,34",6,3,PI,22,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"62,61",12,2,PR,41,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"43,51",19,1,RJ,33,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"66,65",7,3,RN,24,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"58,24",14,2,RO,11,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"71,48",4,3,RR,14,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"40,06",20,1,RS,43,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"66,65",7,3,SC,42,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"66,65",7,3,SE,28,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"19,17",24,1,SP,35,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"72,59",1,3,TO,17,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"14,69",26,1,AC,12,ag_rs_1,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO,Taxa de recuperação de materiais recicláveis,2024,Recuperação de resíduos recicláveis secos e orgânicos em relação à quantidade total de resíduos coletada (indicador IRS3010).,SINISA
"50,22",15,2,AL,27,ag_rs_1,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO,Taxa de recuperação de materiais recicláveis,2024,Recuperação de resíduos recicláveis secos e orgânicos em relação à quantidade total de resíduos coletada (indicador IRS3010).,SINISA
"24,97",22,1,AM,13,ag_rs_1,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO,Taxa de recuperação de materiais recicláveis,2024,Recuperação de resíduos recicláveis secos e orgânicos em relação à quantidade total de resíduos coletada (indicador IRS3010).,SINISA
"48,96",16,2,AP,16,ag_rs_1,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO,Taxa de recuperação de materiais recicláveis,2024,Recuperação de resíduos recicláveis secos e orgânicos em relação à quantidade total de resíduos coletada (indicador IRS3010).,SINISA
"50,37",14,2,BA,29,ag_rs_1,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO,Taxa de recuperação de materiais recicláveis,2024,Recuperação de resíduos recicláveis secos e orgânicos em relação à quantidade total de resíduos coletada (indicador IRS3010).,SINISA
"59,52",11,2,CE,23,ag_rs_1,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO,Taxa de recuperação de materiais recicláveis,2024,Recuperação de resíduos recicláveis secos e orgânicos em relação à quantidade total de resíduos coletada (indicador IRS3010).,SINISA
"81,26",3,3,DF,53,ag_rs_1,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO,Taxa de recuperação de materiais recicláveis,2024,Recuperação de resíduos recicláveis secos e orgânicos em relação à quantidade total de resíduos coletada (indicador IRS3010).,SINISA
"73,55",4,3,ES,32,ag_rs_1,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO,Taxa de recuperação de materiais recicláveis,2024,Recuperação de resíduos recicláveis secos e orgânicos em relação à quantidade total de resíduos coletada (indicador IRS3010).,SINISA
"61,33",9,3,GO,52,ag_rs_1,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO,Taxa de recuperação de materiais recicláveis,2024,Recuperação de resíduos recicláveis secos e orgânicos em relação à quantidade total de resíduos coletada (indicador IRS3010).,SINISA
"22,16",23,1,MA,21,ag_rs_1,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO,Taxa de recuperação de materiais recicláveis,2024,Recuperação de resíduos recicláveis secos e orgânicos em relação à quantidade total de resíduos coletada (indicador IRS3010).,SINISA
"65,48",8,3,MG,31,ag_rs_1,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO,Taxa de recuperação de materiais recicláveis,2024,Recuperação de resíduos recicláveis secos e orgânicos em relação à quantidade total de resíduos coletada (indicador IRS3010).,SINISA
"58,76",12,2,MS,50,ag_rs_1,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO,Taxa de recuperação de materiais recicláveis,2024,Recuperação de resíduos recicláveis secos e orgânicos em relação à quantidade total de resíduos coletada (indicador IRS3010).,SINISA
"47,25",18,2,MT,51,ag_rs_1,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO,Taxa de recuperação de materiais recicláveis,2024,Recuperação de resíduos recicláveis secos e orgânicos em relação à quantidade total de resíduos coletada (indicador IRS3010).,SINISA
"34,83",21,1,PA,15,ag_rs_1,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO,Taxa de recuperação de materiais recicláveis,2024,Recuperação de resíduos recicláveis secos e orgânicos em relação à quantidade total de resíduos coletada (indicador IRS3010).,SINISA
"43,57",20,1,PB,25,ag_rs_1,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO,Taxa de recuperação de materiais recicláveis,2024,Recuperação de resíduos recicláveis secos e orgânicos em relação à quantidade total de resíduos coletada (indicador IRS3010).,SINISA
"48,89",17,2,PE,26,ag_rs_1,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO,Taxa de recuperação de materiais recicláveis,2024,Recuperação de resíduos recicláveis secos e orgânicos em relação à quantidade total de resíduos coletada (indicador IRS3010).,SINISA
"20,2",24,1,PI,22,ag_rs_1,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO,Taxa de recuperação de materiais recicláveis,2024,Recuperação de resíduos recicláveis secos e orgânicos em relação à quantidade total de resíduos coletada (indicador IRS3010).,SINISA
