value,rank,color,sigla_uf,state_id,component_id,component_name,dimension_id,dimension_name
"67,99",4,3,GO,52,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"51,25",11,2,MA,21,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"95,94",1,3,MG,31,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"24,35",25,1,MS,50,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"64,57",6,3,MT,51,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"37,39",18,2,PA,15,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"42,86",17,2,PB,25,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"37,14",19,1,PE,26,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"32,25",22,1,PI,22,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"54,55",8,3,PR,41,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
