DIMENSÃO,COMPONENTE,INDICADOR,ID,INDICADOR NEGATIVADO,ANO,FONTE,DESCRIÇÃO / CÁLCULO,UNIDADE,INTERPRETAÇÃO,
ENERGIA E CONECTIVIDADE,TRANSMISSÃO DE ENERGIA,Extensão das linhas de transmissão,em_trans_2,,2025,Aneel,Extenção total das linhas de transmissão com situação ativa na UF dividido pela área total da UF.,% de área,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, maior é a proporção de extensão de linhas de transmissão.",
ENERGIA E CONECTIVIDADE,TRANSMISSÃO DE ENERGIA,Capacidade de transformação,em_trans_1,,2026,Aneel,"Capacidade de transformação em subestações per capita por UF (filtra os transformadores de potência, soma a potência ativa nominal em megavolt-ampere da última carga disponível e divide o resultado pela população total da UF).",MVA/hab,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, maior é a capacidade de transformação em subestações per capita.",
ENERGIA E CONECTIVIDADE,TELECOMUNICAÇÕES,Qualidade da conexão banda larga,em_tic_4,,2026,Anatel,"Densidade dos acessos em serviço associados à prestação do Serviço de Comunicação Multimídia – SCM (banda larga fixa) representada pelo número de acessos em serviço por grupo de 100 domicílios, normalizado pela Anatel.",Acessos a banda larga fixa por 100 domicílios,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, maior é o percentual de domicílios com acesso à conexão banda larga.",
ENERGIA E CONECTIVIDADE,TELECOMUNICAÇÕES,Capacidade e cobertura de Telecom,em_tic_3,NEGATIVADO,2025,Anatel,Percentual de domicílios com funcionamento de serviço de rede móvel celular para telefonia ou Internet no domicílio.,% de domicílios,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, melhor a capacidade e cobertura de Telecom.",
ENERGIA E CONECTIVIDADE,TELECOMUNICAÇÕES,Cobertura de sinal de celular (4G e 5G),em_tic_2,,2024,Anatel,"Estimativa da cobertura móvel nas seguintes variáveis: tecnologias, frequências, localização das estações, altura e direção das antenas, potências dos transmissores, edificações e relevo, normalizado pela Anatel.",% de moradores,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, maior a cobertura de sinal de celular (4G e 5G) na UF.",
ENERGIA E CONECTIVIDADE,GERAÇÃO DE ENERGIA,Geração total de energia,ec_ge_3,,2024,CEE,Considera a geração total de energia apresentado pelo Operador Nacional do Sistema Elétrico (ONS) e divide pelo PIB per capita da UF.,Mwmed / (R$/hab),"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, mais energia elétrica foi gerada na UF.",
ENERGIA E CONECTIVIDADE,GERAÇÃO DE ENERGIA,Potência outorgada,ec_ge_2,,2025,Aneel,Realiza a soma da potência outorgada em quilowatts de todos os empreendimentos filtrados para o ano de referência e divide o resultado pela população total da UF.,kW/hab,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, maior é o percentual de potência outorgada.",
ENERGIA E CONECTIVIDADE,GERAÇÃO DE ENERGIA,Diversidade da matriz energética,ec_ge_1,,2026,Aneel,"Agrupa as fontes de geração originais em categorias de hídrica, solar, eólica e térmica e realiza a contagem do número de fontes distintas que estão presentes em cada UF.",Valor absoluto (quantidade de categorias),"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, maior é a diversidade da matriz energética na UF.",
ENERGIA E CONECTIVIDADE,DISTRIBUIÇÃO DE ENERGIA,Média de frequência equivalente de interrupção (FEC),ec_dist3,NEGATIVADO,2026,Aneel,Número médio de interrupções de energia elétrica por consumidor em cada UF durante o ano de referência.,Valor absoluto (número de interrupções por unidade consumidora),"Interpretação dos dados: O dado foi invertido para que, quanto maior o resultado da UF nesse indicador, menor é a média da Frequência Equivalente de Interrupção (FEC).",
ENERGIA E CONECTIVIDADE,DISTRIBUIÇÃO DE ENERGIA,Média de duração equivalente de interrupção (DEC),ec_dist2,NEGATIVADO,2024,Aneel,Tempo médio que os consumidores ficaram sem energia por UF no ano mais recente.,Horas,"Interpretação dos dados: O dado foi invertido para que, quanto maior o resultado da UF neste indicador, menor é a média de Duração Equivalente de Interrupção (DEC).",
ENERGIA E CONECTIVIDADE,DISTRIBUIÇÃO DE ENERGIA,Consumo médio energético por habitante,ec_dist1,,2025,EPE/IBGE,Quantidade total de unidades consumidoras de geração distribuída dividida pela quantidade de domicílios da UF.,MWh/hab,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, maior é o consumo médio energético por habitante.",
BEM-ESTAR SOCIAL E CIDADANIA,SAÚDE,Proporção de estabelecimentos de saúde por população,bsc_saude_3,,2024,DATASUS - CNES,"Realiza a contagem distinta de estabelecimentos de saúde (hospitais, postos, clínicas) e divide o total pela população residente na UF.",Estabelecimentos de saúde / habitantes,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, maior é a proporção de estabelecimentos de saúde por população.",
BEM-ESTAR SOCIAL E CIDADANIA,SAÚDE,Total de equipamentos médicos,bsc_saude_2,,2025,DATASUS - CNES,"Quantidade total de equipamentos de saúde existentes em cada UF (telessaúde, audiologia, diagnóstico por imagem, infraestrutura, odontologia, manutenção da vida, métodos gráficos, métodos ópticos e outros equipamentos), independentemente do seu estado de uso, utilizando os registros mais recentes da tabela de equipamentos do sistema CNES.",Quantidade de equipamentos,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, maior é a quantidade de equipamentos de saúde existentes na UF.",
BEM-ESTAR SOCIAL E CIDADANIA,SAÚDE,Proporção de leitos hospitalares por população,bsc_saude_1,,2025,DATASUS - CNES,Soma a quantidade total de leitos disponíveis (todas as especialidades) e divide o resultado pela população total residente na UF.,Quantidade de leitos / habitantes,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, maior é a proporção de leitos hospitalares por população.",
BEM-ESTAR SOCIAL E CIDADANIA,MORADIA & INFRAESTRUTURA URBANA,Moradias com calçamento no entorno,bsc_mi_4,,2025,IBGE/SIDRA,"Proporção de domicílios particulares permanentes da UF que possuem pavimentação (asfalto, paralelepípedo ou concreto) na via pública de acesso imediato.",% de domicílios,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, maior a proporção de moradias com calçamento no entorno.",
BEM-ESTAR SOCIAL E CIDADANIA,MORADIA & INFRAESTRUTURA URBANA,Existência de banheiros exclusivos,bsc_mi_3,,2024,IBGE/SIDRA,Percentual de domicílios da UF que possuem ao menos um banheiro com instalações sanitárias e de banho para uso exclusivo dos moradores.,% de domicílios,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, maior o percentual de domicílios da UF com banheiros exclusivos.",
BEM-ESTAR SOCIAL E CIDADANIA,MORADIA & INFRAESTRUTURA URBANA,Adequação construtiva das moradias,bsc_mi_2,NEGATIVADO,2024,IBGE/SIDRA,"Proporção de domicílios da UF construídos com materiais  considerados adequados nas paredes, teto e piso (indicador ""moradias com paredes, teto e piso inadequados"" calculado ao contrário).",% de domicílios,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, melhor é a adequação construtiva das moradias.",
BEM-ESTAR SOCIAL E CIDADANIA,MORADIA & INFRAESTRUTURA URBANA,Déficit habitacional,bsc_mi_1,NEGATIVADO,2023,FPJ e IBGE,"Mede a quantidade de domicílios inadequados no Brasil, calculado com base em quatro componentes : domicílios precários (rústicos ou improvisados), coabitação (famílias conviventes em um mesmo domicílio), ônus excessivo com aluguel (famílias que gastam mais de 30% da renda com aluguel) e moradias em favelas ou áreas de risco.",% de domicílios,"Interpretação dos dados: O dado foi invertido para que, quanto maior o resultado da UF neste indicador, menor o número de domicílios inadequados na região.",
